type,symbol,date,detail,touches_watch
symbol_change,AURUM / MAJESCO,,ISIN INE898S01029 maps to 2 symbols,False
symbol_change,MBSWITCH / UJAAS,,ISIN INE899L01022 maps to 2 symbols,False
symbol_change,ASTERSILI / SHRIASTER,,ISIN INE900K01012 maps to 2 symbols,False
symbol_change,TTKHEALTH / TTKHLTCARE,,ISIN INE910C01018 maps to 2 symbols,False
symbol_change,FORTUNEFIN / THEINVEST,,ISIN INE924D01017 maps to 2 symbols,False
symbol_change,ROMAN / TARMAT,,ISIN INE924H01018 maps to 2 symbols,False
symbol_change,AURIGROW / GODHA,,ISIN INE925Y01036 maps to 2 symbols,False
symbol_change,DIGISPICE / SMOBILITY / SPICEMOBI / SPICEMOBIL,,ISIN INE927C01020 maps to 4 symbols,False
symbol_change,AANJANEYA / DRDATSONS,,ISIN INE928K01013 maps to 2 symbols,False
symbol_change,ADANIENSOL / ADANITRANS,,ISIN INE931S01010 maps to 2 symbols,False
symbol_change,MEGASOFT / SIGMAADV,,ISIN INE933B01012 maps to 2 symbols,False
symbol_change,BAJAJCON / BAJAJCORP,,ISIN INE933K01021 maps to 2 symbols,False
symbol_change,MERCATOR / MLL,,ISIN INE934B01028 maps to 2 symbols,False
symbol_change,LANCOIN / SRIPIPES,,ISIN INE943C01027 maps to 2 symbols,False
symbol_change,VIPUL / VIPULLTD,,ISIN INE946H01037 maps to 2 symbols,False
symbol_change,ADI / FAIRCHEM / PRIVISCL,,ISIN INE959A01019 maps to 3 symbols,False
symbol_change,SEPC / SHRIRAMEPC,,ISIN INE964H01014 maps to 2 symbols,False
symbol_change,SITICABLE / SITINET / WWIL,,ISIN INE965H01011 maps to 3 symbols,False
symbol_change,DOLAT / DOLATALGO,,ISIN INE966A01022 maps to 2 symbols,False
symbol_change,ZEEMEDIA / ZEENEWS,,ISIN INE966H01019 maps to 2 symbols,False
symbol_change,JUMPNET / WINPRO,,ISIN INE974C01022 maps to 2 symbols,False
symbol_change,NUCENT / PRESSMN,,ISIN INE980A01023 maps to 2 symbols,False
symbol_change,CNL / CREATIVE,,ISIN INE985W01018 maps to 2 symbols,False
