SYMBOL,latest_ISIN,reason
TATSILV,INF277KA1984,fund/ETF (INF)
TECH,INF209KB11D8,fund/ETF (INF)
TNIDETF,INF277KA1364,fund/ETF (INF)
TOP100CASE,INF0R8F01067,fund/ETF (INF)
TOP10ADD,INF740KA1UR9,fund/ETF (INF)
TOP15IETF,INF109K1A344,fund/ETF (INF)
TOP20,INF769K01PZ5,fund/ETF (INF)
TWCGOLDETF,INF2F0001370,fund/ETF (INF)
UNIONGOLD,INF582M01KS4,fund/ETF (INF)
UTIBANKETF,INF789F1AUV1,fund/ETF (INF)
UTINEXT50,INF789F1AUW9,fund/ETF (INF)
UTINIFTETF,INF789F1AZC0,fund/ETF (INF)
UTISENSETF,INF789FB1X58,fund/ETF (INF)
UTISUNDER,INF789F01042,fund/ETF (INF)
UTISXN50,INF789F1AUU3,fund/ETF (INF)
VAL30IETF,INF109KC16X5,fund/ETF (INF)
VALUE,INF769K01QV2,fund/ETF (INF)
