2026-05-30 20:03:14 | risk_manager         | INFO    | TRAILING STOP: BRITANNIA @ 372.48 (stop=372.85)
2026-05-30 20:03:14 | risk_manager         | INFO    | TRAILING STOP: ONGC @ 102.77 (stop=102.87)
2026-05-30 20:03:14 | risk_manager         | INFO    | TIME STOP: HCLTECH after 60 days (max=60)
2026-05-30 20:03:14 | risk_manager         | INFO    | TIME STOP: UPL after 60 days (max=60)
2026-05-30 20:03:14 | risk_manager         | INFO    | TIME STOP: KOTAKBANK after 60 days (max=60)
2026-05-30 20:03:14 | risk_manager         | INFO    | TIME STOP: DRREDDY after 60 days (max=60)
2026-05-30 20:03:14 | risk_manager         | INFO    | TIME STOP: TECHM after 60 days (max=60)
2026-05-30 20:03:18 | risk_manager         | INFO    | TRAILING STOP: ADANIPORTS @ 141.02 (stop=141.78)
2026-05-30 20:03:18 | risk_manager         | INFO    | TRAILING STOP: TCS @ 822.51 (stop=843.74)
2026-05-30 20:03:18 | risk_manager         | INFO    | TRAILING STOP: TECHM @ 313.64 (stop=317.17)
2026-05-30 20:03:18 | risk_manager         | INFO    | TRAILING STOP: JSWSTEEL @ 85.26 (stop=85.59)
2026-05-30 20:03:18 | risk_manager         | INFO    | TRAILING STOP: BRITANNIA @ 371.52 (stop=371.72)
2026-05-30 20:03:18 | risk_manager         | INFO    | TRAILING STOP: KOTAKBANK @ 67.92 (stop=68.48)
2026-05-30 20:03:18 | risk_manager         | INFO    | TRAILING STOP: MARUTI @ 1538.31 (stop=1583.75)
2026-05-30 20:03:18 | risk_manager         | INFO    | TRAILING STOP: UPL @ 114.78 (stop=118.93)
2026-05-30 20:03:18 | risk_manager         | INFO    | TRAILING STOP: EICHERMOT @ 434.26 (stop=435.39)
2026-05-30 20:03:18 | risk_manager         | INFO    | TIME STOP: INFY after 60 days (max=60)
2026-05-30 20:03:21 | risk_manager         | INFO    | TRAILING STOP: HCLTECH @ 248.59 (stop=248.77)
2026-05-30 20:03:21 | risk_manager         | INFO    | TRAILING STOP: DRREDDY @ 473.42 (stop=475.39)
2026-05-30 20:03:21 | risk_manager         | INFO    | TRAILING STOP: HINDUNILVR @ 453.37 (stop=454.40)
2026-05-30 20:03:21 | risk_manager         | INFO    | TIME STOP: WIPRO after 61 days (max=60)
2026-05-30 20:03:21 | risk_manager         | INFO    | TIME STOP: DIVISLAB after 61 days (max=60)
2026-05-30 20:03:25 | risk_manager         | INFO    | TRAILING STOP: SUNPHARMA @ 545.76 (stop=553.28)
2026-05-30 20:03:25 | risk_manager         | INFO    | TRAILING STOP: TECHM @ 317.94 (stop=318.06)
2026-05-30 20:03:25 | risk_manager         | INFO    | TRAILING STOP: INFY @ 334.74 (stop=335.04)
2026-05-30 20:03:25 | risk_manager         | INFO    | TRAILING STOP: TATASTEEL @ 23.78 (stop=23.92)
2026-05-30 20:03:25 | risk_manager         | INFO    | TRAILING STOP: BRITANNIA @ 370.53 (stop=371.19)
2026-05-30 20:03:25 | risk_manager         | INFO    | TRAILING STOP: TCS @ 796.61 (stop=796.87)
2026-05-30 20:03:25 | risk_manager         | INFO    | TRAILING STOP: WIPRO @ 89.54 (stop=90.52)
2026-05-30 20:03:25 | risk_manager         | INFO    | TRAILING STOP: DRREDDY @ 486.54 (stop=492.13)
2026-05-30 20:03:25 | risk_manager         | INFO    | TRAILING STOP: HCLTECH @ 247.78 (stop=248.70)
2026-05-30 20:03:25 | risk_manager         | INFO    | TRAILING STOP: DIVISLAB @ 604.96 (stop=611.06)
2026-05-30 20:03:29 | risk_manager         | INFO    | TIME STOP: EICHERMOT after 60 days (max=60)
2026-05-30 20:03:29 | risk_manager         | INFO    | TRAILING STOP: TECHM @ 301.79 (stop=302.54)
2026-05-30 20:03:29 | risk_manager         | INFO    | TRAILING STOP: INFY @ 287.85 (stop=289.11)
2026-05-30 20:03:29 | risk_manager         | INFO    | TRAILING STOP: HINDUNILVR @ 475.34 (stop=486.46)
2026-05-30 20:03:29 | risk_manager         | INFO    | TRAILING STOP: ADANIPORTS @ 177.06 (stop=177.86)
2026-05-30 20:03:29 | risk_manager         | INFO    | TRAILING STOP: LT @ 716.46 (stop=719.06)
2026-05-30 20:03:29 | risk_manager         | INFO    | TIME STOP: BAJFINANCE after 60 days (max=60)
2026-05-30 20:03:29 | risk_manager         | INFO    | TRAILING STOP: BRITANNIA @ 367.50 (stop=369.84)
2026-05-30 20:03:32 | risk_manager         | INFO    | TRAILING STOP: HCLTECH @ 236.25 (stop=243.91)
2026-05-30 20:03:32 | risk_manager         | INFO    | TRAILING STOP: TECHM @ 306.78 (stop=307.70)
2026-05-30 20:03:32 | risk_manager         | INFO    | TRAILING STOP: DIVISLAB @ 588.34 (stop=588.67)
2026-05-30 20:03:32 | risk_manager         | INFO    | TRAILING STOP: BRITANNIA @ 354.53 (stop=360.83)
2026-05-30 20:03:32 | risk_manager         | INFO    | TRAILING STOP: TCS @ 758.31 (stop=784.45)
2026-05-30 20:03:32 | risk_manager         | INFO    | TRAILING STOP: ITC @ 141.85 (stop=147.80)
2026-05-30 20:03:32 | risk_manager         | INFO    | TRAILING STOP: HEROMOTOCO @ 1576.68 (stop=1580.20)
2026-05-30 20:03:32 | risk_manager         | INFO    | TRAILING STOP: EICHERMOT @ 641.26 (stop=651.19)
2026-05-30 20:03:32 | risk_manager         | INFO    | TRAILING STOP: ADANIPORTS @ 199.35 (stop=200.00)
2026-05-30 20:03:32 | risk_manager         | INFO    | TRAILING STOP: BPCL @ 43.90 (stop=44.88)
2026-05-30 20:03:32 | risk_manager         | INFO    | TIME STOP: SHREECEM after 62 days (max=60)
2026-05-30 20:03:32 | risk_manager         | INFO    | TIME STOP: JSWSTEEL after 62 days (max=60)
2026-05-30 20:03:37 | risk_manager         | INFO    | TRAILING STOP: TATASTEEL @ 36.80 (stop=36.98)
2026-05-30 20:03:37 | risk_manager         | INFO    | TRAILING STOP: LT @ 913.78 (stop=919.28)
2026-05-30 20:03:37 | risk_manager         | INFO    | TRAILING STOP: BAJFINANCE @ 18.84 (stop=18.98)
2026-05-30 20:03:37 | risk_manager         | INFO    | TRAILING STOP: HEROMOTOCO @ 1720.47 (stop=1725.06)
2026-05-30 20:03:37 | risk_manager         | INFO    | TRAILING STOP: RELIANCE @ 221.80 (stop=222.54)
2026-05-30 20:03:37 | risk_manager         | INFO    | TIME STOP: UPL after 60 days (max=60)
2026-05-30 20:03:37 | risk_manager         | INFO    | TRAILING STOP: SHREECEM @ 6833.58 (stop=6857.00)
